 time            v(c1_node)      v(c2_node)      v(c1_wl)        v(c1_bl)        v(c2_wl)        v(c2_bl)       
 4.61040000e-06 -1.55501408e-06 -2.18731379e-09  1.02397741e-01  6.14386448e-02  6.49576081e-03  0.00000000e+00 
 4.62064000e-06 -1.55302838e-06 -4.17210455e-09  1.08944650e-01  6.53667899e-02  1.30426693e-02  0.00000000e+00 
 4.64112000e-06 -1.54907218e-06 -8.12647699e-09  1.22038467e-01  7.32230802e-02  2.61364864e-02  0.00000000e+00 
 4.68208000e-06 -1.54122022e-06 -1.59747730e-08  1.48226101e-01  8.89356606e-02  5.23241206e-02  0.00000000e+00 
 4.73208000e-06 -1.53174361e-06 -2.54469249e-08  1.80193428e-01  1.08116057e-01  8.42914474e-02  0.00000000e+00 
 4.78208000e-06 -1.52238470e-06 -3.48013726e-08  2.12160755e-01  1.27296453e-01  1.16258774e-01  0.00000000e+00 
 4.83208000e-06 -1.51314203e-06 -4.40395783e-08  2.44128082e-01  1.46476849e-01  1.48226101e-01  0.00000000e+00 
 4.88208000e-06 -1.50401416e-06 -5.31629862e-08  2.76095408e-01  1.65657245e-01  1.80193428e-01  0.00000000e+00 
 4.93208000e-06 -1.49499966e-06 -6.21730224e-08  3.08062735e-01  1.84837641e-01  2.12160755e-01  0.00000000e+00 
 4.98208000e-06 -1.48609712e-06 -7.10710954e-08  3.40030062e-01  2.04018037e-01  2.44128082e-01  0.00000000e+00 
 5.03208000e-06 -1.47730515e-06 -7.98585961e-08  3.71997389e-01  2.23198433e-01  2.76095408e-01  0.00000000e+00 
 5.08208000e-06 -1.46862239e-06 -8.85368983e-08  4.03964716e-01  2.42378829e-01  3.08062735e-01  0.00000000e+00 
 5.13208000e-06 -1.46004746e-06 -9.71073586e-08  4.35932043e-01  2.61559226e-01  3.40030062e-01  0.00000000e+00 
 5.18208000e-06 -1.45157904e-06 -1.05571317e-07  4.67899369e-01  2.80739622e-01  3.71997389e-01  0.00000000e+00 
 5.23208000e-06 -1.44321580e-06 -1.13930096e-07  4.99866696e-01  2.99920018e-01  4.03964716e-01  0.00000000e+00 
 5.28208000e-06 -1.43495643e-06 -1.22185002e-07  5.31834023e-01  3.19100414e-01  4.35932043e-01  0.00000000e+00 
 5.33208000e-06 -1.42679964e-06 -1.30337327e-07  5.63801350e-01  3.38280810e-01  4.67899369e-01  0.00000000e+00 
 5.38208000e-06 -1.41874416e-06 -1.38388345e-07  5.95768677e-01  3.57461206e-01  4.99866696e-01  0.00000000e+00 
 5.43208000e-06 -1.41078873e-06 -1.46339313e-07  6.27736004e-01  3.76641602e-01  5.31834023e-01  0.00000000e+00 
 5.48208000e-06 -1.40293210e-06 -1.54191475e-07  6.59703330e-01  3.95821998e-01  5.63801350e-01  0.00000000e+00 
 5.53208000e-06 -1.39517305e-06 -1.61946059e-07  6.91670657e-01  4.15002394e-01  5.95768677e-01  0.00000000e+00 
 5.58208000e-06  8.18900937e-03  3.74295009e-03  7.23637984e-01  4.34182790e-01  6.27736004e-01  0.00000000e+00 
 5.63208000e-06  3.33494187e-02  1.52818204e-02  7.55605311e-01  4.53363187e-01  6.59703330e-01  0.00000000e+00 
 5.68208000e-06  6.60768752e-02  3.04021873e-02  7.87572638e-01  4.72543583e-01  6.91670657e-01  0.00000000e+00 
 5.73208000e-06  9.44810256e-02  2.85362759e-02  8.19539965e-01  4.91723979e-01  7.23637984e-01  0.00000000e+00 
 5.78208000e-06  1.23070580e-01  7.06154727e-03  8.51507291e-01  5.10904375e-01  7.55605311e-01  0.00000000e+00 
 5.83208000e-06  1.58296530e-01  7.39779812e-04  8.83474618e-01  5.30084771e-01  7.87572638e-01  0.00000000e+00 
 5.88208000e-06  1.90912158e-01  1.82325559e-03  9.15441945e-01  5.49265167e-01  8.19539965e-01  0.00000000e+00 
 5.93208000e-06  2.22225054e-01  6.62373262e-04  9.47409272e-01  5.68445563e-01  8.51507291e-01  0.00000000e+00 
 5.98208000e-06  2.54473540e-01  1.09472084e-03  9.79376599e-01  5.87625959e-01  8.83474618e-01  0.00000000e+00 
 6.03208000e-06  2.86086834e-01  5.48903412e-04  1.01134393e+00  6.06806355e-01  9.15441945e-01  0.00000000e+00 
 6.08208000e-06  3.18134514e-01  7.87468302e-04  1.04331125e+00  6.25986751e-01  9.47409272e-01  0.00000000e+00 
 6.13208000e-06  3.49859530e-01  4.68588372e-04  1.07527858e+00  6.45167148e-01  9.79376599e-01  0.00000000e+00 
 6.18208000e-06  3.81835165e-01  6.22007644e-04  1.10724591e+00  6.64347544e-01  1.01134393e+00  0.00000000e+00 
 6.23208000e-06  4.13611414e-01  4.11588477e-04  1.13921323e+00  6.83527940e-01  1.04331125e+00  0.00000000e+00 
 6.28208000e-06  4.45549456e-01  5.18315004e-04  1.17118056e+00  7.02708336e-01  1.07527858e+00  0.00000000e+00 
 6.33208000e-06  4.77352707e-01  3.68840410e-04  1.20314789e+00  7.21888732e-01  1.10724591e+00  0.00000000e+00 
 6.38208000e-06  5.09270266e-01  4.47589086e-04  1.23511521e+00  7.41069128e-01  1.13921323e+00  0.00000000e+00 
 6.43208000e-06  5.41090117e-01  3.35764215e-04  1.26708254e+00  7.60249524e-01  1.17118056e+00  0.00000000e+00 
 6.48208000e-06  5.72995293e-01  3.96386102e-04  1.29904987e+00  7.79429920e-01  1.20314789e+00  0.00000000e+00 
 6.53208000e-06  6.04826222e-01  3.09473474e-04  1.33101719e+00  7.98610316e-01  1.23511521e+00  0.00000000e+00 
 6.58208000e-06  6.36723420e-01  3.57657544e-04  1.36298452e+00  8.17790712e-01  1.26708254e+00  0.00000000e+00 
 6.63208000e-06  6.68562206e-01  2.88100342e-04  1.39495185e+00  8.36971109e-01  1.29904987e+00  0.00000000e+00 
 6.68208000e-06  7.00454039e-01  3.27367510e-04  1.42691917e+00  8.56151505e-01  1.33101719e+00  0.00000000e+00 
 6.73208000e-06  7.32298675e-01  2.70395086e-04  1.45888650e+00  8.75331901e-01  1.36298452e+00  0.00000000e+00 
 6.78208000e-06  7.64186794e-01  3.03044238e-04  1.49085383e+00  8.94512297e-01  1.39495185e+00  0.00000000e+00 
 6.83208000e-06  7.96035956e-01  2.55494187e-04  1.52282115e+00  9.13692693e-01  1.42691917e+00  0.00000000e+00 
 6.88208000e-06  8.27921454e-01  2.83091698e-04  1.55478848e+00  9.32873089e-01  1.45888650e+00  0.00000000e+00 
 6.93208000e-06  8.59774237e-01  2.42783503e-04  1.58675581e+00  9.52053485e-01  1.49085383e+00  0.00000000e+00 
 6.98208000e-06  8.91657867e-01  2.66434444e-04  1.61872314e+00  9.71233881e-01  1.52282115e+00  0.00000000e+00 
 7.03208000e-06  9.23513623e-01  2.31815029e-04  1.65069046e+00  9.90414277e-01  1.55478848e+00  0.00000000e+00 
 7.08208000e-06  9.55395918e-01  2.52321936e-04  1.68265779e+00  1.00959467e+00  1.58675581e+00  0.00000000e+00 
 7.13208000e-06  9.87254176e-01  2.22254618e-04  1.71462512e+00  1.02877507e+00  1.61872314e+00  0.00000000e+00 
 7.18208000e-06  1.01913552e+00  2.40214771e-04  1.74659244e+00  1.04795547e+00  1.65069046e+00  0.00000000e+00 
 7.23208000e-06  1.04959594e+00  2.02076131e-04  1.77855977e+00  1.06713586e+00  1.68265779e+00  0.00000000e+00 
 7.28208000e-06  1.07592273e+00  1.95221625e-04  1.81052710e+00  1.08631626e+00  1.71462512e+00  0.00000000e+00 
 7.33208000e-06  1.09839729e+00  1.63378660e-04  1.84249442e+00  1.10549665e+00  1.74659244e+00  0.00000000e+00 
 7.38208000e-06  1.11932820e+00  1.74346539e-04  1.87446175e+00  1.12467705e+00  1.77855977e+00  0.00000000e+00 
 7.43208000e-06  1.13954989e+00  1.52282903e-04  1.90642908e+00  1.14385745e+00  1.81052710e+00  0.00000000e+00 
 7.48208000e-06  1.15943970e+00  1.64542947e-04  1.93839640e+00  1.16303784e+00  1.84249442e+00  0.00000000e+00 
 7.53208000e-06  1.17911635e+00  1.45772071e-04  1.97036373e+00  1.18221824e+00  1.87446175e+00  0.00000000e+00 
 7.57843400e-06  1.19725372e+00  1.57483417e-04  2.00000000e+00  1.20000000e+00  1.90409802e+00  0.00000000e+00 
 7.58343400e-06  1.19816563e+00  1.17229406e-04  2.00000000e+00  1.20000000e+00  1.90729475e+00  0.00000000e+00 
 7.59343400e-06  1.19904069e+00  8.07730076e-05  2.00000000e+00  1.20000000e+00  1.91368822e+00  0.00000000e+00 
 7.61343400e-06  1.19899275e+00  8.21335242e-05  2.00000000e+00  1.20000000e+00  1.92647515e+00  0.00000000e+00 
 7.65343400e-06  1.19901359e+00  7.93680100e-05  2.00000000e+00  1.20000000e+00  1.95204901e+00  0.00000000e+00 
 7.70343400e-06  1.19900009e+00  7.81645161e-05  2.00000000e+00  1.20000000e+00  1.98401634e+00  0.00000000e+00 
 7.72843400e-06  1.19900814e+00  7.66553568e-05  2.00000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00 
