[2025-05-14 15:10:12] === Simplified System-Level Analogy Stress Test (Neuron LIF Focus) v0.1 ===
[2025-05-14 15:10:12] Start time: Wed May 14 03:10:12 PM CEST 2025
[2025-05-14 15:10:12] Logging to: simplified_stress_data_20250514_151012/stress_analog_run.log
[2025-05-14 15:10:12] Data CSV: simplified_stress_data_20250514_151012/neuron_lif_analogy_data.csv
[2025-05-14 15:10:12] CPU: Intel(R) Core(TM) i7-8559U CPU @ 2.70GHz
BIOS Intel(R) Core(TM) i7-8559U CPU @ 2.70GHz To Be Filled By O.E.M. CPU @ 2.3GHz
[2025-05-14 15:10:12] Kernel: 6.11.0-25-generic
[2025-05-14 15:10:12] [1] Capturing Initial Baseline State...
[2025-05-14 15:10:12]   Initial: Temp=49.0C, Freq=3600000KHz
[2025-05-14 15:12:32]   Recovering (78s/120s): Temp=38.0C, Freq=4100000KHz
[2025-05-14 15:12:33]   Recovering (79s/120s): Temp=45.0C, Freq=2102000KHz
[2025-05-14 15:12:34]   Recovering (80s/120s): Temp=41.0C, Freq=2900000KHz
[2025-05-14 15:12:35]   Recovering (81s/120s): Temp=38.0C, Freq=1201000KHz
[2025-05-14 15:12:36]   Recovering (82s/120s): Temp=39.0C, Freq=3800000KHz
[2025-05-14 15:12:37]   Recovering (83s/120s): Temp=38.0C, Freq=3300000KHz
[2025-05-14 15:12:38]   Recovering (84s/120s): Temp=43.0C, Freq=1199000KHz
[2025-05-14 15:12:39]   Recovering (85s/120s): Temp=39.0C, Freq=1100000KHz
[2025-05-14 15:12:40]   Recovering (86s/120s): Temp=38.0C, Freq=3800000KHz
[2025-05-14 15:12:41]   Recovering (87s/120s): Temp=39.0C, Freq=3501000KHz
[2025-05-14 15:12:42]   Recovering (88s/120s): Temp=38.0C, Freq=3200000KHz
[2025-05-14 15:12:43]   Recovering (89s/120s): Temp=46.0C, Freq=2400000KHz
[2025-05-14 15:12:45]   Recovering (90s/120s): Temp=40.0C, Freq=1200000KHz
[2025-05-14 15:12:46]   Recovering (91s/120s): Temp=39.0C, Freq=3800000KHz
[2025-05-14 15:12:47]   Recovering (92s/120s): Temp=39.0C, Freq=1200000KHz
[2025-05-14 15:12:48]   Recovering (93s/120s): Temp=38.0C, Freq=3800000KHz
[2025-05-14 15:12:49]   Recovering (94s/120s): Temp=45.0C, Freq=2900000KHz
[2025-05-14 15:12:50]   Recovering (95s/120s): Temp=42.0C, Freq=3000000KHz
[2025-05-14 15:12:51]   Recovering (96s/120s): Temp=39.0C, Freq=1200000KHz
[2025-05-14 15:12:52]   Recovering (97s/120s): Temp=39.0C, Freq=3800000KHz
[2025-05-14 15:12:53]   Recovering (98s/120s): Temp=39.0C, Freq=3301000KHz
[2025-05-14 15:12:54]   Recovering (99s/120s): Temp=39.0C, Freq=3600000KHz
[2025-05-14 15:12:55]   Recovering (100s/120s): Temp=81.0C, Freq=4308000KHz
[2025-05-14 15:12:56]   Recovering (101s/120s): Temp=39.0C, Freq=3800000KHz
[2025-05-14 15:12:57]   Recovering (102s/120s): Temp=38.0C, Freq=3100000KHz
[2025-05-14 15:12:58]   Recovering (103s/120s): Temp=38.0C, Freq=3400000KHz
[2025-05-14 15:12:59]   Recovering (104s/120s): Temp=39.0C, Freq=3400000KHz
[2025-05-14 15:13:00]   Recovering (105s/120s): Temp=73.0C, Freq=4100000KHz
[2025-05-14 15:13:01]   Recovering (106s/120s): Temp=40.0C, Freq=3600000KHz
[2025-05-14 15:13:02]   Recovering (107s/120s): Temp=39.0C, Freq=3500000KHz
[2025-05-14 15:13:03]   Recovering (108s/120s): Temp=39.0C, Freq=3600000KHz
[2025-05-14 15:13:04]   Recovering (109s/120s): Temp=39.0C, Freq=3200000KHz
[2025-05-14 15:13:05]   Recovering (110s/120s): Temp=85.0C, Freq=4199000KHz
[2025-05-14 15:13:06]   Recovering (111s/120s): Temp=40.0C, Freq=3833000KHz
[2025-05-14 15:13:07]   Recovering (112s/120s): Temp=39.0C, Freq=3400000KHz
[2025-05-14 15:13:08]   Recovering (113s/120s): Temp=39.0C, Freq=3300000KHz
[2025-05-14 15:13:09]   Recovering (114s/120s): Temp=39.0C, Freq=1100000KHz
[2025-05-14 15:13:10]   Recovering (115s/120s): Temp=74.0C, Freq=4107000KHz
[2025-05-14 15:13:11]   Recovering (116s/120s): Temp=40.0C, Freq=3500000KHz
[2025-05-14 15:13:12]   Recovering (117s/120s): Temp=39.0C, Freq=3400000KHz
[2025-05-14 15:13:13]   Recovering (118s/120s): Temp=39.0C, Freq=3200000KHz
[2025-05-14 15:13:14]   Recovering (119s/120s): Temp=39.0C, Freq=4091000KHz
[2025-05-14 15:13:15]   Recovering (120s/120s): Temp=88.0C, Freq=4281000KHz
[2025-05-14 15:13:16] 'Leak & Recover' phase complete.
[2025-05-14 15:13:16] [4] Test Finished.
[2025-05-14 15:13:16] Review data in: simplified_stress_data_20250514_151012/neuron_lif_analogy_data.csv
[2025-05-14 15:13:16] Full log in: simplified_stress_data_20250514_151012/stress_analog_run.log
[2025-05-14 15:13:17] Attempting to generate a simple plot...
[2025-05-14 15:13:19] [*] Cleaning up potential stray processes...
[2025-05-14 15:13:19] [*] Cleanup finished.
